name,normalizedName,description,eligibilityStatus,category,sourceUrl,source,scrapedAt
"Anesthesia","anesthesia","Anesthesia is eligible for reimbursement with flexible spending accounts (FSA), health savings accounts (HSA) and health reimbursement arrangements (HRA). Anesthesia is not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/anesthesia","hsastore","2026-06-07T22:11:28.669Z"
"Ankle Brace","ankle brace","Ankle braces are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Ankle brace reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Braces And Supports","https://hsastore.com/hsa-eligibility-list/a/ankle-brace","hsastore","2026-06-07T22:11:28.669Z"
"Antacids","antacids","Antacids are over-the-counter (OTC) items that are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Antacids are not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Heartburn Acid Reflux Gerd","https://hsastore.com/hsa-eligibility-list/a/antacids","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Bacterial Hand Sanitizer (60%+ Alcohol)","anti bacterial hand sanitizer 60 alcohol","Anti-bacterial hand sanitizer to prevent COVID-19 (with at least 60% alcohol) is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Anti-bacterial hand sanitizer is not eligible for reimbursement with a dependent care flexible spending account (DCFSA) or a limited-purpose flexible spending account (LPFSA).","Eligible","Cold And Virus Protection","https://hsastore.com/hsa-eligibility-list/a/anti-bacterial-hand-sanitizer-60plus-alcohol","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Diarrheal","anti diarrheal","Anti-diarrheal medicines, such as Imodium A-D or Kaopectate, are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Anti-diarrheal medicine reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Digestive Health","https://hsastore.com/hsa-eligibility-list/a/anti-diarrheal","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Embolism Socks, Stockings","anti embolism socks stockings","Anti-embolism socks, stockings that are used to treat a medical condition are eligible with a flexible spending account (FSA), health savings account (HSA) or health reimbursement arrangement (HRA), but they may require a Letter of Medical Necessity (LMN) from a licensed medical provider for reimbursement and a benefits administrator may only reimburse the excess cost of the anti-embolism socks over the cost of a regular pair of socks. Anti-embolism socks, stockings are not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) and dependent care flexible spending accounts (DCFSA).","Eligible w/LMN","Leg And Foot Support","https://hsastore.com/hsa-eligibility-list/a/anti-embolism-socks-stockings","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Fungal Treatments","anti fungal treatments","Anti-fungal treatment reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or health reimbursement arrangement (HRA). Anti-fungal treatment reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Foot Care","https://hsastore.com/hsa-eligibility-list/a/anti-fungal-treatments","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Gas Medicine","anti gas medicine","Anti-gas medicine reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Anti-gas medicine reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Digestive Health","https://hsastore.com/hsa-eligibility-list/a/anti-gas-medicine","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Inflammatories","anti inflammatories","Anti-inflammatory treatments are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Anti-inflammatory treatments are not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Pain Relief","https://hsastore.com/hsa-eligibility-list/a/anti-inflammatories","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Itch Cream or Lotion","anti itch cream or lotion","Anti-itch cream or lotion is eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Anti-itch cream or lotion is not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or dependent care flexible spending account (DCFSA).","Eligible","First Aid","https://hsastore.com/hsa-eligibility-list/a/anti-itch-cream-or-lotion","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Parasitic","anti parasitic","Anti-parasitic medication reimbursement is eligible with a prescription with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Anti-parasitic medication reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA). However, if available as an over-the-counter medicine, anti-parasitic products would be eligible with no prescription necessary with an FSA, HSA or HRA.","Eligible w/Rx","All Medicine And Treatments","https://hsastore.com/hsa-eligibility-list/a/anti-parasitic","hsastore","2026-06-07T22:11:28.669Z"
"Anti-Snore Guards","anti snore guards","Anti-Snore Guards are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA), or health reimbursement arrangement (HRA). Anti-Snore Guards are not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/anti-snore-guards","hsastore","2026-06-07T22:11:28.669Z"
"Antibiotic Ointments","antibiotic ointments","Antibiotic ointments, such as Neosporin or Bacitracin, are eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Antibiotic ointments are not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","First Aid","https://hsastore.com/hsa-eligibility-list/a/antibiotic-ointments","hsastore","2026-06-07T22:11:28.669Z"
"Antibiotics","antibiotics","Antibiotics reimbursement is eligible with a prescription with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Antibiotics reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible w/Rx","","https://hsastore.com/hsa-eligibility-list/a/antibiotics","hsastore","2026-06-07T22:11:28.669Z"
"Antidepressants","antidepressants","Antidepressants are eligible with a prescription with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Antidepressants reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible w/Rx","","https://hsastore.com/hsa-eligibility-list/a/antidepressants","hsastore","2026-06-07T22:11:28.669Z"
"Antihistamines","antihistamines","Antihistamines are over-the-counter (OTC) medicines that are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Antihistamines reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Cold And Allergy","https://hsastore.com/hsa-eligibility-list/a/antihistamines","hsastore","2026-06-07T22:11:28.669Z"
"Antipyretics (fever reducers)","antipyretics fever reducers","Antipyretics are over-the-counter (OTC) medicines that are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Antipyretics reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Pain Relief","https://hsastore.com/hsa-eligibility-list/a/antipyretics-fever-reducers","hsastore","2026-06-07T22:11:28.669Z"
"Antiseptics","antiseptics","Antiseptics are eligible for reimbursement through a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Antiseptic reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","First Aid","https://hsastore.com/hsa-eligibility-list/a/antiseptics","hsastore","2026-06-07T22:11:28.669Z"
